TEMPERATURE (degrees Celsius),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
mean daily max,8.1,8.3,10.2,12.1,14.8,17.6,19.5,19.2,17,13.6,10.3,8.3,13.3
mean daily min,2.4,2.3,3.4,4.6,6.9,9.6,11.7,11.5,9.8,7.3,4.5,2.8,6.4
mean temperature,5.3,5.3,6.8,8.3,10.9,13.6,15.6,15.3,13.4,10.5,7.4,5.6,9.8
absolute max.,16.5,16.2,17.2,20.5,23.5,25.7,27.6,28.7,24.6,21,18,16.2,28.7
min. maximum,-3.1,-0.1,2.4,4.5,6.6,10.4,11.7,11.9,11.2,5.3,-1.8,-4.7,-4.7
max. minimum,11.8,11.9,11.9,12.8,13.2,16.2,19,18.2,17.3,15.2,12.8,12.9,19
absolute min.,-9.5,-6.7,-7.9,-4,-1.6,2.1,4.6,2.4,1.2,-3.3,-8.4,-12.2,-12.2
mean num. of days with air frost,6.4,6.5,3.8,2.4,0.3,0,0,0,0,0.5,3,6.4,29.4
mean num. of days with ground frost,15,14,12,10,3,0,0,0,0,4,10,14,82
mean 5cm soil,3.8,3.8,5.4,8.2,12.2,15.2,16.7,15.8,13.1,9.4,6.2,4.5,9.5
mean 10cm soil,4.1,4.1,5.5,7.9,11.5,14.6,16.2,15.4,13,9.7,6.6,4.8,9.4
mean 20cm soil,4.6,4.7,6.1,8.4,11.7,14.8,16.5,16,13.7,10.5,7.3,5.3,10
RELATIVE HUMIDITY (%),,,,,,,,,,,,,
mean at 0900UTC,87,86.4,84,79.5,76.9,76.7,78.5,81,83.4,85.5,88.5,88,83
mean at 1500UTC,80.6,75.7,71,68.3,68,68.3,69,69.3,71.5,75.1,80.3,83.1,73.3
SUNSHINE (hours),,,,,,,,,,,,,
mean daily duration,1.9,2.7,3.5,5.3,6.2,5.8,5.3,5.1,4.3,3.3,2.4,1.7,3.9
greatest daily duration,8.1,9.8,11.9,13.3,15.4,15.9,15.6,14.2,12.4,10.2,8.8,7.3,15.9
mean num. of days with no sun,9.1,6.2,4.7,2.5,2,1.9,1.4,1.5,2.6,4.8,7.3,10.5,54.6
RAINFALL (mm),,,,,,,,,,,,,
mean monthly total,62.6,48.8,52.7,54.1,59.5,66.7,56.2,73.3,59.5,79,72.9,72.7,758
greatest daily total,27.1,28.1,35.8,30.4,42.1,73.9,39.2,72.2,40.6,53.2,62.8,42.4,73.9
mean num. of days with >= 0.2mm,17,15,17,15,15,14,16,16,15,17,17,17,191
mean num. of days with >= 1.0mm,12,10,11,10,11,10,10,11,10,11,11,12,129
mean num. of days with >= 5.0mm,4,3,3,3,3,3,3,4,4,4,4,4,42
WIND (knots),,,,,,,,,,,,,
mean monthly speed,12.5,12,11.6,9.9,9.2,8.6,8.7,8.7,9.2,10.4,11,11.3,10.3
max. gust,80,73,66,59,58,53,54,56,59,69,66,76,80
max. mean 10-minute speed,53,49,45,39,39,38,36,37,36,51,43,55,55
mean num. of days with gales,2.3,1.5,1.1,0.1,0.1,0.1,0.1,0.1,0.2,0.5,0.8,1.3,8.2
WEATHER (mean no. of days with..),,,,,,,,,,,,,
snow or sleet,4.6,4.2,2.8,1.2,0.2,0,0,0,0,0,0.8,2.9,16.6
snow lying at 0900UTC,1.6,0.6,0.1,0,0,0,0,0,0,0,0.1,0.9,3.4
hail,1.2,1.5,2,1.9,1.3,0.1,0.2,0.1,0.1,0.3,0.3,0.7,9.7
thunder,0.3,0.2,0.3,0.2,0.9,0.8,0.8,0.9,0.3,0.3,0.2,0.2,5.5
fog,3.3,3.1,3.6,3.6,3.4,2.8,3.3,3.8,4.2,3.2,3.1,4.1,41.5
